id,name,vintage,country,winery,grapes,rating,price,acidity,intensity,sweetness,tannin,flavor_rank1,flavor_rank2,flavor_rank3
1100696,Bernard Baudry Les Granges Chinon 2021,2021,France,Bernard Baudry,Cabernet franc,3.7,11.04,3.9633088,3.3977664,1.7898692,3.709873,earth,red_fruit,black_fruit
6196367,Château Lamartine Tandem 2023,2023,France,Château Lamartine,Malbec,3.7,12,2.8963947,3.5189798,1.0217687,3.2589793,black_fruit,oak,spices
1791346,A. Chamvermeil Montagne-Saint-Émilion 2018,2018,France,A. Chamvermeil,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.83,,,,,,,
2936473,Agarrus Les Toiles 2021,2021,France,Agarrus,Syrah;Grenache;Mourvèdre,3.7,11.5,,,,,,,
2247623,Dufour Père & Fils Clos de Ponchon Brouilly Pisse-Vieille 2021,2021,France,Dufour Père & Fils,Gamay,3.7,11.9,,,,,,,
7948055,Belena Cuvée Juliette Coteaux Bourguignons 2022,2022,France,Belena,Pinot Noir,3.7,11.2,,,,,,,
1438818,Henri Bourgeois Cabernet Franc Petit Bourgeois 2019,2019,France,Henri Bourgeois,,3.7,11.75,,,,,,,
3266644,Domaine des Grands Fers Fleurie 2022,2022,France,Domaine des Grands Fers,Gamay,3.7,11.99,,,,,,,
1925641,Château Siran Saint-Jacques de Siran 2019,2019,France,Château Siran,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.5,,,,,,,
1211504,Château Sigognac Médoc 2018,2018,France,Château Sigognac,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.48,,,,,,,
1244939,Château des Eyssards Cuvee Prestige Rouge 2018,2018,France,Château des Eyssards,,3.7,10.9,,,,,,,
1145228,Wolfberger Pinot Noir Alsace Cuvée Du Prince Hugo 2024,2024,France,Wolfberger,Pinot Noir,3.7,11.43,,,,,,,
5955927,Plô Roucarels Plant du Roc 2021,2021,France,Plô Roucarels,Syrah;Grenache;Mourvèdre,3.7,12,,,,,,,
2454073,Château Begadan Médoc 2018,2018,France,Château Begadan,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.5,,,,,,,
2454073,Château Begadan Médoc 2020,2020,France,Château Begadan,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.4,,,,,,,
1856793,Château Tayat (Favereaud Père et Fille) Cuvée Tradition Blaye - Côtes de Bordeaux 2019,2019,France,Château Tayat (Favereaud Père et Fille),Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,10.75,,,,,,,
2687255,Gabriel Meffre Côtes-Du-Rhône Saint-François 2023,2023,France,Gabriel Meffre,Syrah;Grenache;Mourvèdre,3.7,11,,,,,,,
1187857,Domaine de Montgilet Anjou Gamay 2022,2022,France,Domaine de Montgilet,Cabernet Sauvignon;Cabernet franc;Pinot Noir;Gamay;Grolleau;Côt;Pineau D'Aunis,3.7,10.9,,,,,,,
1147036,Causse Marines Les Peyrouzelles 2018,2018,France,Causse Marines,,3.7,11,,,,,,,
1949019,Domaine de la Reynardiere Faugères 2010,2010,France,Domaine de la Reynardiere,Syrah;Grenache;Mourvèdre,3.7,12.04,,,,,,,
1587102,Château la Chandellière Médoc 2017,2017,France,Château la Chandellière,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12,4.1429186,4.239147,1.4869164,4.158564,black_fruit,earth,oak
4810435,Domaine du Boiron Temprano 2019,2019,France,Domaine du Boiron,,3.7,11.5,3.4505882,2.5347059,1.8235294,3.1064706,,,
4901674,Marc Jambon Mâcon-Pierreclos 2023,2023,France,Marc Jambon,Pinot Noir,3.7,11.6,3.9924562,2.5919297,1.5840349,1.9612281,microbio,tree_fruit,vegetal
4901674,Marc Jambon Mâcon-Pierreclos 2024,2024,France,Marc Jambon,Pinot Noir,3.7,11.6,3.9924562,2.5919297,1.5840349,1.9612281,microbio,tree_fruit,vegetal
2024113,Château de Bouillerot Cep d'Antan Bordeaux Red Blend 2022,2022,France,Château de Bouillerot,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12,3.7990184,3.8190184,1.3220859,3.6730063,earth,black_fruit,vegetal
10122988,Château Hourtou Ondulations 2022,2022,France,Château Hourtou,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12,3.9562068,3.9934483,1.2310344,3.937759,black_fruit,earth,red_fruit
5796833,Domaine des Pothiers Domaine Côte Roannaise Rouge 2021,2021,France,Domaine des Pothiers,,3.7,11.9,3.6474633,2.360571,1.1169133,2.9487631,red_fruit,spices,earth
2177484,Château de Monternot Juliénas 2021,2021,France,Château de Monternot,Gamay,3.7,10.7,4.8698387,1.5125806,1.7066128,2.2562902,red_fruit,oak,non_oak
2177484,Château de Monternot Juliénas 2018,2018,France,Château de Monternot,Gamay,3.7,11,4.8698387,1.5125806,1.7066128,2.2562902,red_fruit,oak,non_oak
1181454,Château Les Clauzots Graves 2019,2019,France,Château Les Clauzots,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12.2,4.413421,4.357908,1.4981579,4.5960927,black_fruit,earth,oak
2174544,Château de Belleverne Vieilles Vignes Moulin à Vent 2020,2020,France,Château de Belleverne,Gamay,3.7,10.8,4.9057145,1,1.9533331,1.4947618,red_fruit,,
